idModelInstance, idModelDefinition, Species, Substance, Reference
PBK_PFOA_Human, PBK_PFAS, Human, PFOA, https://doi.org/10.1093/toxsci/kfae006
PBK_PFOS_Human, PBK_PFAS, Human, PFOS, https://doi.org/10.1093/toxsci/kfae006

